name_custom,name_un,name_forbes
jamaica,jamaica,NA
japan,japan,japan
jordan,jordan,jordan
kazakhstan,kazakhstan,kazakhstan
kenya,kenya,kenya
kiribati,kiribati,NA
kuwait,kuwait,kuwait
kyrgyzstan,kyrgyzstan,NA
lao people's democratic republic,lao people's democratic republic,NA
latvia,latvia,NA
lebanon,lebanon,lebanon
lesotho,lesotho,NA
liberia,liberia,NA
libya,libya,NA
liechtenstein,liechtenstein,NA
lithuania,lithuania,NA
luxembourg,luxembourg,luxembourg
madagascar,madagascar,NA
malawi,malawi,NA
malaysia,malaysia,malaysia
maldives,maldives,NA
mali,mali,NA
malta,malta,NA
marshall islands,marshall islands,NA
martinique,martinique,NA
mauritania,mauritania,NA
mauritius,mauritius,NA
mayotte,mayotte,NA
mexico,mexico,mexico
micronesia,micronesia,NA
micronesia (fed. states of),micronesia (fed. states of),NA
monaco,monaco,monaco
mongolia,mongolia,NA
montenegro,montenegro,NA
montserrat,montserrat,NA
morocco,morocco,morocco
mozambique,mozambique,NA
myanmar,myanmar,NA
namibia,namibia,NA
nauru,nauru,NA
nepal,nepal,NA
netherlands,netherlands,netherlands
new caledonia,new caledonia,NA
new zealand,new zealand,NA
nicaragua,nicaragua,NA
niger,niger,NA
nigeria,nigeria,nigeria
niue,niue,NA
northern mariana islands,northern mariana islands,NA
norway,norway,norway
oman,oman,oman
pakistan,pakistan,NA
palau,palau,NA
panama,panama,NA
papua new guinea,papua new guinea,NA
paraguay,paraguay,NA
peru,peru,peru
philippines,philippines,philippines
poland,poland,poland
portugal,portugal,portugal
puerto rico,puerto rico,puerto rico
qatar,qatar,qatar
republic of korea,republic of korea,south korea
republic of moldova,republic of moldova,NA
romania,romania,NA
russian federation,russian federation,russia
rwanda,rwanda,NA
saint helena,saint helena,NA
saint kitts and nevis,saint kitts and nevis,NA
saint lucia,saint lucia,NA
saint pierre and miquelon,saint pierre and miquelon,NA
saint vincent and the grenadines,saint vincent and the grenadines,NA
samoa,samoa,NA
san marino,san marino,NA
sao tome and principe,sao tome and principe,NA
saudi arabia,saudi arabia,saudi arabia
senegal,senegal,NA
serbia,serbia,NA
seychelles,seychelles,NA
sierra leone,sierra leone,NA
singapore,singapore,singapore
sint maarten (dutch part),sint maarten (dutch part),NA
slovakia,slovakia,NA
slovenia,slovenia,NA
solomon islands,solomon islands,NA
somalia,somalia,NA
south africa,south africa,south africa
south sudan,south sudan,NA
spain,spain,spain
sri lanka,sri lanka,NA
state of palestine,state of palestine,NA
sudan,sudan,NA
suriname,suriname,NA
swaziland,swaziland,NA
sweden,sweden,sweden
switzerland,switzerland,switzerland
syrian arab republic,syrian arab republic,NA
tajikistan,tajikistan,NA
tfyr macedonia,tfyr macedonia,NA
thailand,thailand,thailand
timor-leste,timor-leste,NA
togo,togo,NA
tokelau,tokelau,NA
tonga,tonga,NA
trinidad and tobago,trinidad and tobago,NA
tunisia,tunisia,NA
turkey,turkey,turkey
turkmenistan,turkmenistan,NA
turks and caicos islands,turks and caicos islands,NA
tuvalu,tuvalu,NA
uganda,uganda,NA
ukraine,ukraine,NA
united arab emirates,united arab emirates,united arab emirates
united kingdom,united kingdom,united kingdom
united republic of tanzania,united republic of tanzania,NA
united states of america,united states of america,united states
united states virgin islands,united states virgin islands,NA
uruguay,uruguay,NA
uzbekistan,uzbekistan,NA
vanuatu,vanuatu,NA
venezuela (bolivarian republic of),venezuela (bolivarian republic of),venezuela
viet nam,viet nam,vietnam
wallis and futuna islands,wallis and futuna islands,NA
western sahara,western sahara,NA
yemen,yemen,NA
zambia,zambia,NA
zimbabwe,zimbabwe,NA
