name_custom,name_un,name_forbes,name_ted
paraguay,paraguay,NA,NA
peru,peru,peru,peru
philippines,philippines,philippines,philippines
poland,poland,poland,poland
portugal,portugal,portugal,portugal
puerto rico,puerto rico,puerto rico,NA
qatar,qatar,qatar,qatar
republic of korea,republic of korea,south korea,south korea
republic of moldova,republic of moldova,NA,moldova
romania,romania,NA,romania
russian federation,russian federation,russia,russian federation
rwanda,rwanda,NA,NA
saint helena,saint helena,NA,NA
saint kitts and nevis,saint kitts and nevis,NA,NA
saint lucia,saint lucia,NA,st. lucia
saint pierre and miquelon,saint pierre and miquelon,NA,NA
saint vincent and the grenadines,saint vincent and the grenadines,NA,NA
samoa,samoa,NA,NA
san marino,san marino,NA,NA
sao tome and principe,sao tome and principe,NA,NA
saudi arabia,saudi arabia,saudi arabia,saudi arabia
senegal,senegal,NA,senegal
serbia,serbia,NA,serbia & montenegro
seychelles,seychelles,NA,NA
sierra leone,sierra leone,NA,NA
singapore,singapore,singapore,singapore
sint maarten (dutch part),sint maarten (dutch part),NA,NA
slovakia,slovakia,NA,slovak republic
slovenia,slovenia,NA,slovenia
solomon islands,solomon islands,NA,NA
somalia,somalia,NA,NA
south africa,south africa,south africa,south africa
south sudan,south sudan,NA,NA
spain,spain,spain,spain
sri lanka,sri lanka,NA,sri lanka
state of palestine,state of palestine,NA,NA
sudan,sudan,NA,sudan
suriname,suriname,NA,NA
swaziland,swaziland,NA,NA
sweden,sweden,sweden,sweden
switzerland,switzerland,switzerland,switzerland
syrian arab republic,syrian arab republic,NA,syria
tajikistan,tajikistan,NA,tajikistan
tfyr macedonia,tfyr macedonia,NA,macedonia
thailand,thailand,thailand,thailand
timor-leste,timor-leste,NA,NA
togo,togo,NA,NA
tokelau,tokelau,NA,NA
tonga,tonga,NA,NA
trinidad and tobago,trinidad and tobago,NA,trinidad & tobago
tunisia,tunisia,NA,tunisia
turkey,turkey,turkey,turkey
turkmenistan,turkmenistan,NA,turkmenistan
turks and caicos islands,turks and caicos islands,NA,NA
tuvalu,tuvalu,NA,NA
uganda,uganda,NA,uganda
ukraine,ukraine,NA,ukraine
united arab emirates,united arab emirates,united arab emirates,united arab emirates
united kingdom,united kingdom,united kingdom,united kingdom
united republic of tanzania,united republic of tanzania,NA,tanzania
united states of america,united states of america,united states,united states
united states virgin islands,united states virgin islands,NA,NA
uruguay,uruguay,NA,uruguay
uzbekistan,uzbekistan,NA,uzbekistan
vanuatu,vanuatu,NA,NA
venezuela (bolivarian republic of),venezuela (bolivarian republic of),venezuela,venezuela
viet nam,viet nam,vietnam,vietnam
wallis and futuna islands,wallis and futuna islands,NA,NA
western sahara,western sahara,NA,NA
yemen,yemen,NA,yemen
zambia,zambia,NA,zambia
zimbabwe,zimbabwe,NA,zimbabwe
